卡啦🎤OK,#genre#
在变老的路上善待自己,https://vd2.bdstatic.com/mda-qdubd3591yvvwwuk/720p/h264/1714377745966357205/mda-qdubd3591yvvwwuk.mp4
玫瑰怎会上野草,https://vd3.bdstatic.com/mda-rm62880wiutfic83/cae_h264/1765103591682450594/mda-rm62880wiutfic83.mp4
几度枫叶红,https://vd3.bdstatic.com/mda-ra32jr529dvd1eqx/hd/cae_h264/1735959815664414613/mda-ra32jr529dvd1eqx.mp4
苹果香,https://vd2.bdstatic.com/mda-qmba43h8deprj1y7/576p/h264/1733987328874190026/mda-qmba43h8deprj1y7.mp4
罗刹海市,https://vd3.bdstatic.com/mda-ra9cwexee481sqvq/hd/cae_h264/1736520966302187024/mda-ra9cwexee481sqvq.mp4
谈写人生,https://vd3.bdstatic.com/mda-qk714vypm1jecwgk/576p/h264/1731026921570610353/mda-qk714vypm1jecwgk.mp4
我是一条小河,https://vd4.bdstatic.com/mda-qjc1fa1w6d8rv1wq/720p/h264/1728781297373686827/mda-qjc1fa1w6d8rv1wq.mp4
谁不是为碎银几两,https://vd2.bdstatic.com/mda-qmf3z0njqbe4uw44/hd/cae_h264/1734318002107097203/mda-qmf3z0njqbe4uw44.mp4
撞了南墙不醒悟,https://vd2.bdstatic.com/mda-qk14py25dzhtmb3r/hd/cae_h264/1730532415284906806/mda-qk14py25dzhtmb3r.mp4
来生再把你拥有,https://vd4.bdstatic.com/mda-ra4cg02jffebsttk/hd/cae_h264/1736072494247458679/mda-ra4cg02jffebsttk.mp4
酒醒的蝴蝶,https://vd2.bdstatic.com/mda-kikg698bkfvm9vs9/sc/mda-kikg698bkfvm9vs9.mp4
肩上的责任太沉,https://vd3.bdstatic.com/mda-qdf63v0fkxgg7q5m/hd/cae_h264/1713241430566717080/mda-qdf63v0fkxgg7q5m.mp4
红尘路上谁不孤独,https://vd3.bdstatic.com/mda-pjm4m53qced5asvd/720p/h264/1697944575748041668/mda-pjm4m53qced5asvd.mp4
累了也想喝点酒,https://vd3.bdstatic.com/mda-qdi284td5wid7cc7/720p/h264/1713490521409270682/mda-qdi284td5wid7cc7.mp4
谁的心在午夜里飘泊,https://vd2.bdstatic.com/mda-qdgamhik4er3ee02/720p/h264/1713339056091292011/mda-qdgamhik4er3ee02.mp4
半生时光满身伤,https://vd2.bdstatic.com/mda-qde6wz1ktkrszy6g/cae_h264/1713157484154264372/mda-qde6wz1ktkrszy6g.mp4
心善福自来,https://vd4.bdstatic.com/mda-qdg375yrqmay4g0g/720p/h264/1713320180366765984/mda-qdg375yrqmay4g0g.mp4
时光叹,https://vd3.bdstatic.com/mda-qjud1h3m2tb661dh/hd/cae_h264/1730208349470232171/mda-qjud1h3m2tb661dh.mp4
童年老家,https://vd3.bdstatic.com/mda-qkh9w38sp1wjxp8a/576p/h264/1731913144786427230/mda-qkh9w38sp1wjxp8a.mp4
人生苦乐要自渡,https://vd4.bdstatic.com/mda-qi5g4s18a5qmzmi6/576p/h264/1725621832129085489/mda-qi5g4s18a5qmzmi6.mp4
人生没有回头路,https://vd2.bdstatic.com/mda-pk03idhfnp6xxu2i/720p/h264/1698805837576627315/mda-pk03idhfnp6xxu2i.mp4
人生只能往前走,https://vd4.bdstatic.com/mda-qdk50709ef89k82p/720p/h264/1713670353786138537/mda-qdk50709ef89k82p.mp4
人生这杯酒你可曾喝醉,https://vd2.bdstatic.com/mda-pjw9enqn40si08ba/720p/h264/1698734408989605063/mda-pjw9enqn40si08ba.mp4
人生需自渡,https://vd4.bdstatic.com/mda-pj66h1q6qf5s63e5/720p/h264/1696653361971314173/mda-pj66h1q6qf5s63e5.mp4
走在人生的路口,https://vd2.bdstatic.com/mda-pim828rgx6w6wd2z/720p/h264/1695361328042528978/mda-pim828rgx6w6wd2z.mp4
